rest_id,Restaurant Name,Locality,Area Code,Address,City Code,Cuisine,Cost for 2,Is Recommended,Phone Numbers,Lat Longs,Description,Minimum Order,Delivery Charge Threshold,Compulsory Delivery Charge,Night Delivery fee,Restaurant Packing Charges,Service Tax (%),Service Charge (%),VAT (%),Commission Expression,Payment type,GSTIN Number,Business Entity name,GST Enabled,Go Live Date,Item_SGST,Item_CGST,Item_IGST,Item_inclusive,PC_SGST,PC_CGST,PC_IGST,PC_inclusive,SC_SGST,SC_CGST,SC_IGST,SC_inclusive,Normal Preptime,Peak Preptime,Orders Notify Email,Orders Notify Mobile,Restaurant Category,Parent Id,Monday Open 1,Monday Close 1,Monday Open 2,Monday Close 2,Monday Open 3,Monday Close 3,Tuesday Open 1,Tuesday Close 1,Tuesday Open 2,Tuesday Close 2,Tuesday Open 3,Tuesday Close 3,Wednesday Open 1,Wednesday Close 1,Wednesday Open 2,Wednesday Close 2,Wednesday Open 3,Wednesday Close 3,Thursday Open 1,Thursday Close 1,Thursday Open 2,Thursday Close 2,Thursday Open 3,Thursday Close 3,Friday Open 1,Friday Close 1,Friday Open 2,Friday Close 2,Friday Open 3,Friday Close 3,Saturday Open 1,Saturday Close 1,Saturday Open 2,Saturday Close 2,Saturday Open 3,Saturday Close 3,Sunday Open 1,Sunday Close 1,Sunday Open 2,Sunday Close 2,Sunday Open 3,Sunday Close 3,SV Enabled,Is Veg
728,Ambarsariya,Supermart I,87,"E-15 Supermart 2, DLF Phase 4",2,North Indian,500,0,"P01244304300,7859877993","28.461750,77.088089",0,0,200,0,30,0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[bill]*0.174672489,1,,,1,dt:01-07-2017,0,0,0,0,0,0,0,0,0,0,0,0,20,25,devpancholi.2009@gmail.com,7859877993,,42,1200,1630,1900,2330,,,1200,1630,1900,2330,,,1200,1630,1900,2330,,,1200,1630,1900,2330,,,1200,1630,1900,2330,,,1200,1630,1900,2359,0,100,1200,1630,1900,2330,,,0,0
730,Apni Rasoi,South City 2,19,"Main Sector Road, Near Malibutown Residence, South City 2",2,North Indian,300,0,"P9811602509,9811572507","28.423192,77.05392800000004",0,0,200,30,30,0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0.13125,[bill]*0.139737991,1,,,1,dt:01-07-2017,0.13125,0,0,0,0,0,0,0,0,0,0,0,35,35,vishuvvu@yahoo.com,9811602509,,64,1000,1545,1900,2300,,,1000,1545,1900,2300,,,1000,1545,1900,2300,,,1000,1545,1900,2300,,,1000,1545,1900,2300,,,1000,1545,1900,2300,,,1000,1545,1900,2300,,,0,1
732,Capital Restaurant & Bar-Be-Que,Sector 31,18,"Sector 31 210, HUDA Market, Sector 31",2,North Indian,450,0,P8826008106,"28.453459,77.05105100000003",0,0,200,0,30,0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[bill_without_taxes]*0.20,1,,,1,dt:01-07-2017,0,0,0,0,0,0,0,0,0,0,0,0,34,34,atriparvesh24@gmail.com,9873779901,,,1300,1600,1900,2250,,,,,,,,,1300,1600,1900,2250,,,1300,1600,1900,2250,,,1300,1600,1900,2250,,,1300,1600,1900,2250,,,1300,1600,1900,2250,,,0,0
733,Coffee & Chai Co.,Golf Course Road,88,"UG 8 southpoint mall, golf course rd, Sector 53",2,"Italian,Mexican,Cafe",1100,0,P01244009000,"28.448048,77.09917500000006",0,0,200,30,30,[CART_SUBTOTAL]*0.10,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0.13125,[bill_without_taxes]*0.174672489,1,06AVIPM4826H1ZG,HARMONY MANAKTALA,1,dt:01-07-2017,0.09,0.09,0,0,0,0,0,0,0,0,0,0,15,20,harmonyfoodworks@gmail.com,"80,102,333,149,599,800,000",,,1200,2145,,,,,1200,2145,,,,,1200,2145,,,,,1200,2145,,,,,1200,2145,,,,,1200,2145,,,,,1200,2145,,,,,0,0
734,Idliss,DLF Phase 3,17,U 10/1 DLF Phase-3,2,"North Indian,Chinese,South Indian",250,0,"P01243028735,8470071235","28.493617,77.094424",0,0,200,30,30,20,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0.1313,[bill_without_taxes]*0.185,1,,,1,dt:01-07-2017,0.09,0.09,0,0,0,0,0,0,0,0,0,0,20,25,idliking@gmail.com,8470071235,,494,800,2315,,,,,800,2315,,,,,800,2315,,,,,800,2315,,,,,800,2315,,,,,800,2315,,,,,800,2315,,,,,0,1
736,Mamagoto,"City Centre, Sector 29",18,"SCO 56, City Centre, Sector 29",2,"Chinese,Thai,Asian",1500,0,"P01244241860,9873739473","28.46763,77.06481099999996",0,0,200,30,30,35,([CART_SUBTOTAL]+35)*0.06,[CART_SUBTOTAL]*0,([CART_SUBTOTAL]+35)*0.145,[bill_without_taxes]*0.16,1,06AAGCA9135K1ZH,Azure Hospitality Private Limited,1,dt:01-07-2017,0.09,0.09,0,0,0.09,0.09,0,0,0,0,0,0,15,20,store.gurgaon@mamagoto.in,9873739473,,622,1200,2330,,,,,1200,2330,,,,,1200,2330,,,,,1200,2330,,,,,1200,2330,,,,,1200,2330,,,,,1200,2330,,,,,1,0
738,My Food Factory,DLF Phase 3,17,"UG 14, Moulsari Arcade, DLF Phase 3",2,"North Indian,Chinese,Fast Food",450,0,"P01246462255,01246452266,9999678491","28.494942,77.10346600000003",0,0,200,0,30,0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[bill]*0.131004367,1,,,1,dt:01-07-2017,0,0,0,0,0,0,0,0,0,0,0,0,20,25,info@myfoodfactory.com,9999678491,,,1145,2300,,,,,1145,2300,,,,,1130,2300,,,,,1145,2300,,,,,1145,2300,,,,,1145,2300,,,,,1145,2300,,,,,0,0
741,Goli Vada Pav No. 1,Sector 50,19,"CG, Arcadia Unitech Market sector 50",2,Maharashtrian,150,0,P01246520133,"28.41757,77.05285000000003",0,0,200,30,30,0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[bill]*0.20,1,06AAVFM3232D1ZD,Mint Fast Foods Inc,1,dt:01-07-2017,0.06,0.06,0,0,0,0,0,0,0,0,0,0,19,19,goli.manjesh@gmail.com,9560791133,,424,1015,2145,,,,,1015,2145,,,,,1015,2145,,,,,1015,2145,,,,,1015,2145,,,,,1015,2145,,,,,1015,2145,,,,,1,1
742,Goli Vada Pav No. 1,Phase 1,87,180 vyapar kendra near shyam sweets,2,Maharashtrian,150,0,P01246521363,"28.460113,77.084067",0,0,200,30,30,0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[bill]*0.20,1,06AAVFM3232D1ZD,Mint Fast Foods Inc,1,dt:01-07-2017,0.06,0.06,0,0,0,0,0,0,0,0,0,0,20,25,goli.manjesh@gmail.com,9560791133,,424,1015,2200,,,,,1015,2200,,,,,1015,2200,,,,,1015,2200,,,,,1015,2200,,,,,1015,2200,,,,,1015,2200,,,,,1,1
760,Viva Hyderabad,Sohna Road,87,"3rd Floor, Food Court, DLF Mega Mall, DLF Phase 1",2,"North Indian,Biryani",600,0,"P01244002500,01146051510,9015062000","28.475835,77.09310099999993",0,0,200,30,30,0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0,[CART_SUBTOTAL]*0.13135,[bill_without_taxes]*0.175,1,,,1,dt:01-07-2017,0.09,0.09,0,0,0.09,0.09,0,0,0,0,0,0,25,30,vivahyderabad@yahoo.com,8826827772,,961,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,1100,2300,,,,,0,0
